variety,points,price
Ramisco,93.0,495.0
Rara Neagra,89.5,17.5
Rebo,88.0,27.0
Rebula,88.0,22.666666666666668
Red Blend,88.24594257178526,35.650703693208655
Refosco,87.07692307692308,42.8
Rhône-style Red Blend,88.88597430406853,33.592406476828586
Rhône-style White Blend,88.40115163147793,32.33918128654971
Ribolla Gialla,87.5340909090909,27.82716049382716
Rieslaner,90.42857142857143,40.4
Riesling,89.09512269009392,31.04763422016887
Riesling-Chardonnay,94.0,40.0
Rivaner,86.66666666666667,16.333333333333332
Rkatsiteli,86.5,21.516129032258064
Robola,87.25,22.0
Roditis,85.47058823529412,14.125
Roditis-Moschofilero,88.0,11.0
Rolle,88.25,22.25
Romorantin,90.66666666666667,23.333333333333332
Rosado,84.75,13.27027027027027
Rosato,86.79591836734694,17.48780487804878
Roscetto,88.5,23.0
Rosenmuskateller,92.5,150.0
Rosé,86.69305413687437,18.089175546831182
Roter Traminer,90.28571428571429,32.25
Roter Veltliner,90.0,33.38461538461539
Rotgipfler,89.5909090909091,26.6875
Roussanne,88.31603773584905,27.80094786729858
Roussanne-Grenache Blanc,91.0,16.0
Roussanne-Marsanne,88.28571428571429,33.333333333333336
Roussanne-Viognier,88.88235294117646,29.41176470588235
Roviello,92.5,28.0
Ruché,87.08333333333333,27.416666666666668
Ruen,89.0,15.0
Rufete,84.33333333333333,23.0
Ryzlink Rýnský,89.0,40.0
Sacy,86.5,19.0
Sagrantino,89.6171875,53.00909090909091
Sangiovese,88.35222894881673,42.143259305599
Sangiovese Cabernet,87.66666666666667,46.333333333333336
Sangiovese Grosso,90.45496323529412,65.13144963144963
Sangiovese-Cabernet Sauvignon,86.28571428571429,29.142857142857142
Sangiovese-Syrah,88.8,45.2
Saperavi,87.275,21.0
Saperavi-Merlot,87.0,17.5
Sarba,88.0,10.0
Sauvignon,87.97214484679665,25.550295857988164
Sauvignon Blanc,87.14376010583567,19.529366895499617
Sauvignon Blanc-Assyrtiko,92.0,20.0
Sauvignon Blanc-Chardonnay,87.81818181818181,19.22222222222222
Sauvignon Blanc-Chenin Blanc,87.4,15.8
Sauvignon Blanc-Sauvignon Gris,86.0,
Sauvignon Blanc-Semillon,87.86021505376344,24.236559139784948
Sauvignon Blanc-Verdejo,84.66666666666667,12.333333333333334
Sauvignon Gris,86.11111111111111,21.133333333333333
Sauvignon Musqué,85.5,21.5
Sauvignon-Sémillon,86.0,12.0
Sauvignonasse,90.0,25.0
Savagnin,89.43478260869566,42.11764705882353
Savatiano,87.125,14.714285714285714
Scheurebe,90.39393939393939,43.193548387096776
Schiava,88.0909090909091,18.545454545454547
Schwartzriesling,90.0,25.0
Sciaccerellu,89.0,45.5
Segalin,87.0,10.0
Semillon-Chardonnay,85.6,9.8
Semillon-Sauvignon Blanc,88.04597701149426,26.67058823529412
Sercial,92.33333333333333,35.5
Seyval Blanc,84.22222222222223,19.72222222222222
Sherry,89.65040650406505,31.9672131147541
Shiraz,88.50238095238095,37.47090909090909
Shiraz-Cabernet,86.5,47.0
Shiraz-Cabernet Sauvignon,87.02564102564102,20.986486486486488
Shiraz-Grenache,89.4074074074074,24.703703703703702
Shiraz-Malbec,88.33333333333333,16.833333333333332
Shiraz-Merlot,85.0,10.0
Shiraz-Mourvèdre,88.66666666666667,17.666666666666668
Shiraz-Pinotage,87.0,10.666666666666666
Shiraz-Roussanne,90.0,29.0
Shiraz-Tempranillo,84.14285714285714,9.857142857142858
Shiraz-Viognier,89.1891891891892,44.24324324324324
Sideritis,85.0,23.0
Siegerrebe,86.0,14.0
Silvaner,87.32692307692308,42.791666666666664
Silvaner-Traminer,86.0,25.0
Siria,87.0909090909091,13.7
Sirica,93.0,32.0
Sousão,88.28571428571429,36.285714285714285
Souzao,86.5,30.0
Sparkling Blend,87.86536994660564,28.93527242933224
Spätburgunder,89.16666666666667,58.34939759036145
St. George,86.0,12.0
St. Laurent,89.46363636363637,32.82795698924731
St. Vincent,85.0,24.0
Steen,85.0,11.0
Susumaniello,89.5,35.666666666666664
Sylvaner,88.31481481481481,22.244444444444444
Symphony,84.6,15.0
Syrah,88.90078551912568,37.940940766550526
Syrah-Bonarda,87.0,13.0
Syrah-Cabernet,87.1891891891892,29.054054054054053
Syrah-Cabernet Franc,90.33333333333333,66.0
Syrah-Cabernet Sauvignon,89.51351351351352,44.891891891891895
Syrah-Carignan,89.75,22.75
Syrah-Grenache,88.25714285714285,27.130434782608695
Syrah-Grenache-Viognier,88.66666666666667,24.666666666666668
Syrah-Malbec,89.0,14.0
Syrah-Merlot,88.33333333333333,29.666666666666668
Syrah-Mourvèdre,89.05882352941177,32.94117647058823
Syrah-Petit Verdot,92.0,42.0
Syrah-Petite Sirah,89.6,40.3
Syrah-Tempranillo,89.125,36.5
Syrah-Viognier,89.47058823529412,48.75
Sämling,91.5,35.333333333333336
Sémillon,88.20535714285714,23.3302752293578
Tai,84.0,10.0
Tamianka,89.0,20.0
Tamjanika,87.5,20.0
Tannat,88.2390243902439,31.584615384615386
Tannat-Cabernet,90.27272727272727,20.14814814814815
Tannat-Cabernet Franc,90.92857142857143,20.928571428571427
Tannat-Merlot,87.33333333333333,18.22222222222222
Tannat-Syrah,86.83333333333333,17.5
Tempranillo,87.12815378454145,30.611988659376266
Tempranillo Blanco,83.4,30.0
